species,year,decimalLongitude,decimalLatitude
Cryptotis gracilis,2001,-83.830002,9.98
Reithrodontomys creper,2001,-83.830002,9.9
Reithrodontomys creper,2001,-83.830002,9.98
Reithrodontomys sumichrasti,2001,-83.830002,9.98
Reithrodontomys creper,2001,-83.830002,9.98
Reithrodontomys sumichrasti,2001,-83.830002,9.98
Reithrodontomys creper,2001,-83.830002,9.98
Reithrodontomys sumichrasti,2001,-83.830002,9.98
Peromyscus mexicanus,2001,-83.800003,9.92
Peromyscus nudipes,2001,-83.830002,9.98
Peromyscus nudipes,2001,-83.830002,9.98
Peromyscus nudipes,2001,-83.830002,9.98
Peromyscus mexicanus,2001,-83.800003,9.92
Peromyscus nudipes,2001,-83.830002,9.98
Peromyscus nudipes,2001,-83.830002,9.98
Peromyscus mexicanus,2001,-83.800003,9.92
Peromyscus nudipes,2001,-83.830002,9.98
Peromyscus nudipes,2001,-83.830002,9.98
Peromyscus mexicanus,2001,-83.800003,9.92
Peromyscus mexicanus,2001,-83.800003,9.92
Peromyscus nudipes,2001,-83.830002,9.98
Scotinomys xerampelinus,2001,-83.830002,9.98
Scotinomys teguina,2001,-83.970001,9.9
Reithrodontomys creper,2001,-83.830002,9.98
Reithrodontomys creper,2001,-83.830002,9.98
Scotinomys teguina,2001,-83.970001,9.9
Reithrodontomys creper,2001,-83.830002,9.98
Heteromys desmarestianus,2001,-83.970001,9.9
Oligoryzomys fulvescens,2001,-83.970001,9.9
Reithrodontomys creper,2001,-83.830002,9.98
Reithrodontomys sumichrasti,2001,-83.830002,9.98
Reithrodontomys creper,2001,-83.830002,9.98
Scotinomys xerampelinus,2001,-83.830002,9.9
Scotinomys xerampelinus,2001,-83.830002,9.98
Scotinomys teguina,2001,-83.800003,9.92
Reithrodontomys creper,2001,-83.830002,9.98
Heteromys desmarestianus,2001,-83.970001,9.9
Reithrodontomys mexicanus,2001,-83.970001,9.9
Scotinomys teguina,2001,-83.970001,9.9
Scotinomys xerampelinus,2001,-83.830002,9.98
Reithrodontomys creper,2001,-83.830002,9.98
Scotinomys xerampelinus,2001,-83.830002,9.98
Scotinomys xerampelinus,2001,-83.830002,9.9
Scotinomys teguina,2001,-83.970001,9.9
Reithrodontomys creper,2001,-83.830002,9.98
Reithrodontomys creper,2001,-83.830002,9.98
Heteromys desmarestianus,2001,-83.970001,9.9
Scotinomys teguina,2001,-83.970001,9.9
Scotinomys xerampelinus,2001,-83.830002,9.98
Reithrodontomys creper,2001,-83.830002,9.98
Scotinomys xerampelinus,2001,-83.830002,9.98
Scotinomys teguina,2001,-83.970001,9.9
Scotinomys xerampelinus,2001,-83.830002,9.9
Reithrodontomys creper,2001,-83.830002,9.9
Scotinomys teguina,2001,-83.970001,9.9
Oligoryzomys fulvescens,2001,-83.830002,9.98
Dasyprocta punctata,2021,-84.202172,10.029628
Sciurus variegatoides,2021,-84.133309,9.914009
Bassariscus sumichrasti,2021,-83.973078,9.940007
Canis lupus,2021,-84.034952,10.043158
Procyon lotor,2021,-84.062461,9.934228
Bradypus variegatus,2007,-84.051068,9.93738
Sciurus variegatoides,2021,-84.06353,9.899705
Choloepus hoffmanni,2021,-84.085655,10.058233
Dasypus novemcinctus,2021,-84.194348,9.984548
Choloepus hoffmanni,2020,-84.12561,9.881113
Bassariscus sumichrasti,2021,-83.863441,9.946561
Choloepus hoffmanni,2021,-83.981487,9.843424
Procyon lotor,2021,-84.109294,9.999012
Cebus imitator,2020,-83.783692,9.759041
Sciurus variegatoides,2019,-84.196497,10.156715
Sciurus variegatoides,2021,-84.005898,9.931349
Sciurus variegatoides,2021,-84.045725,9.92517
Microsciurus alfari,2020,-83.783497,9.750233
Microsciurus alfari,2010,-83.783619,9.759077
Canis latrans,2021,-83.883711,9.867347
Sciurus variegatoides,2021,-84.109871,10.040946
Procyon lotor,2021,-83.969641,9.940678
Canis latrans,2021,-84.243444,9.898916
Procyon lotor,2021,-84.124533,10.001984
Sciurus variegatoides,2021,-83.867552,9.828183
Sciurus variegatoides,2021,-83.866083,9.819133
Sciurus variegatoides,2021,-84.040394,9.903121
Didelphis marsupialis,2021,-84.127061,9.976497
Artibeus jamaicensis,2021,-84.03399,9.887032
Tapirella bairdii,2019,-84.14248,10.131514
Procyon lotor,2021,-84.096794,10.014443
Sciurus variegatoides,2020,-84.068253,9.939008
Didelphis marsupialis,2015,-84.17117,9.981683
Didelphis marsupialis,2021,-84.133729,9.918937
Cebus imitator,2021,-84.297753,9.922783
Didelphis marsupialis,2020,-84.20204,10.029704
Didelphis marsupialis,2020,-84.105789,9.894788
Procyon lotor,2017,-84.20204,10.029704
Procyon lotor,2021,-84.06646,9.914096
Procyon lotor,2017,-84.20204,10.029704
Sciurus variegatoides,2020,-84.20204,10.029704
Procyon lotor,2021,-84.110025,10.001973
Nasua narica,2021,-83.784432,9.76063
Bradypus variegatus,2013,-84.093995,9.974732
Sciurus variegatoides,2021,-84.277804,9.918564
Bradypus variegatus,2019,-84.079683,10.07637
Odocoileus virginianus,2021,-84.116841,10.02211
Cebus imitator,2021,-84.262031,9.918653
Alouatta palliata,2021,-84.005699,9.931179
Tapirella bairdii,2021,-84.061339,10.075075
Sciurus variegatoides,2011,-84.214524,10.016499
Canis latrans,2021,-83.97851,9.929555
Bradypus variegatus,2016,-84.049483,9.937419
Artibeus jamaicensis,2014,-84.381241,9.938588
Sciurus variegatoides,2017,-84.101516,9.9357
Didelphis marsupialis,2021,-84.082016,9.984436
Procyon lotor,2016,-84.170748,9.981893
Sciurus variegatoides,2021,-84.17117,9.981719
Dasyprocta punctata,2011,-84.19921,9.928374
Didelphis marsupialis,2018,-84.170945,9.981758
Nasua narica,2020,-84.17326,9.980145
Cebus imitator,2021,-84.296192,10.021036
Sciurus variegatoides,2019,-84.17063,9.981834
Sciurus variegatoides,2020,-84.171014,9.981845
Didelphis marsupialis,2016,-84.170715,9.981686
Bassariscus sumichrasti,2021,-84.107774,10.092665
Sciurus variegatoides,2020,-84.117088,10.021912
Uroderma bilobatum,2007,-83.797373,9.763126
Cebus imitator,2021,-84.265442,9.914395
Procyon lotor,2021,-84.057623,9.928375
Choloepus hoffmanni,2020,-83.973835,9.891327
Dasypus novemcinctus,2021,-84.15417,9.88333
Sciurus variegatoides,2018,-84.101166,9.934472
Procyon lotor,2021,-84.069664,9.916058
Sciurus variegatoides,2020,-84.109628,9.998256
Bradypus variegatus,2014,-84.091881,9.972857
Sciurus variegatoides,2008,-84.287412,9.909808
Eira barbara,2019,-84.287412,9.909808
Eira barbara,2019,-84.287412,9.909808
Tapirella bairdii,2020,-83.935375,9.746353
Procyon lotor,2020,-84.109628,9.998256
Procyon lotor,2020,-84.051694,9.935055
Leopardus wiedii,2020,-84.25204,10.104497
Tamandua mexicana,2020,-84.250443,9.900793
Alouatta palliata,2011,-84.305634,9.976466
Sciurus variegatoides,2020,-83.980417,9.895917
Odocoileus virginianus,2011,-84.19921,9.928374
Mus musculus,2020,-84.04355,9.991271
Sciurus variegatoides,2020,-83.852686,9.79749
Sciurus variegatoides,2020,-83.980417,9.895917
Sciurus variegatoides,2020,-83.980417,9.895917
Sciurus variegatoides,2020,-83.915219,9.8572
Sciurus variegatoides,2019,-84.147917,10.051119
Lasiurus frantzii,2020,-84.037253,9.996654
Sciurus variegatoides,2010,-84.264752,9.914393
Procyon lotor,2020,-84.056536,9.926899
Sciurus variegatoides,2019,-84.08953,9.929562
Sciurus variegatoides,2017,-84.079021,9.918916
Sciurus variegatoides,2020,-84.046256,9.924759
Sciurus variegatoides,2015,-84.07885,9.980484
Tapirella bairdii,2020,-84.069122,10.043689
Sciurus variegatoides,2020,-84.024612,9.904128
Nasua narica,2016,-84.146255,9.942969
Sciurus variegatoides,2018,-84.044814,9.923337
Cebus imitator,2020,-84.100175,10.028734
Cebus imitator,2008,-84.277811,9.916952
Choloepus hoffmanni,2016,-83.870368,9.904547
Canis latrans,2020,-83.997759,9.970516
Didelphis marsupialis,2020,-83.997769,9.970729
Bradypus variegatus,2009,-84.091881,9.972857
Sciurus variegatoides,2020,-84.090725,9.928069
Sciurus variegatoides,2020,-84.033012,9.907941
Sciurus variegatoides,2019,-84.116753,9.998173
Sciurus variegatoides,2017,-84.072708,9.938945
Sciurus variegatoides,2019,-84.078803,9.980894
Sciurus variegatoides,2018,-84.079437,9.982119
Sciurus variegatoides,2019,-84.078803,9.980894
Sciurus variegatoides,2005,-84.072919,9.93996
Sciurus variegatoides,2019,-84.116798,9.998109
Sciurus variegatoides,2019,-84.236907,9.987503
Sciurus variegatoides,2016,-84.078843,9.981159
Sciurus variegatoides,2020,-84.078823,9.981197
Sciurus variegatoides,2017,-84.103197,9.93757
Sciurus variegatoides,2017,-84.1012,9.9365
Sciurus variegatoides,2014,-84.213867,10.016506
Sciurus variegatoides,2016,-84.2512,10.0269
Sciurus variegatoides,2014,-84.078945,9.981918
Nasua narica,2009,-84.189039,9.970521
Sciurus variegatoides,2012,-84.078805,9.980812
Sciurus variegatoides,2020,-84.070099,9.934398
Sciurus variegatoides,2019,-84.153549,9.975046
Syntheosciurus brochus,2005,-84.11,10.13
Sciurus variegatoides,2012,-84.249557,10.022959
Sciurus variegatoides,2018,-84.104576,9.935384
Sciurus variegatoides,2010,-84.073576,9.936013
Sciurus variegatoides,2016,-84.249969,9.984048
Sciurus variegatoides,2018,-84.309938,9.988167
Sciurus variegatoides,2017,-84.100124,9.936132
Sciurus variegatoides,2014,-84.21391,10.01651
Sciurus variegatoides,2012,-84.070121,9.934763
Dasypus novemcinctus,2009,-84.235306,10.118144
Nasua narica,2011,-83.878311,9.96344
Alouatta palliata,2009,-84.189039,9.970521
Sciurus variegatoides,2016,-84.07084,9.93452
Rattus norvegicus,2017,-84.058607,9.993363
Sciurus variegatoides,2016,-84.249759,9.983931
Bassariscus sumichrasti,2020,-84.129984,10.084199
Didelphis marsupialis,2020,-84.133383,9.920413
Sciurus variegatoides,2020,-84.043616,9.991234
Leopardus wiedii,2020,-84.167442,9.960779
Odocoileus virginianus,2020,-84.117383,10.024159
Sciurus granatensis,2020,-84.077362,10.083876
Sphiggurus mexicanus,2020,-84.214434,9.944671
Bradypus variegatus,2020,-83.798767,9.864946
Sciurus variegatoides,2020,-84.028161,9.9388
Bos taurus,2020,-84.034817,10.03884
Equus asinus,2020,-84.040743,10.035197
Bradypus variegatus,2019,-84.052208,9.936384
Sciurus variegatoides,2020,-84.180468,9.922575
Sciurus variegatoides,2020,-83.970347,9.958883
Cebus imitator,2020,-84.083018,9.877051
Sciurus variegatoides,2020,-84.137255,9.923041
Scotinomys teguina,2020,-83.773252,9.828109
Nasua narica,2017,-84.203743,10.012692
Sciurus variegatoides,2020,-84.198868,10.058094
Artibeus lituratus,2012,-84.093175,9.973443
Dasypus novemcinctus,2018,-83.994046,9.936298
Sciurus variegatoides,2015,-84.1,9.935722
Equus caballus,2020,-84.013939,10.029911
Bradypus variegatus,2016,-84.051501,9.93681
Sciurus variegatoides,2020,-84.05463,9.924402
Nasua narica,2015,-83.783075,9.749211
Sciurus variegatoides,2020,-84.109055,9.999185
Sciurus granatensis,2020,-83.944221,9.91049
Sciurus variegatoides,2020,-84.109268,9.999059
Sciurus variegatoides,2015,-84.078863,9.98061
Procyon lotor,2019,-84.110455,9.999119
Sciurus variegatoides,2020,-84.198375,10.058011
Sciurus variegatoides,2020,-84.078746,9.981901
Sciurus variegatoides,2018,-84.079118,9.981535
Sciurus variegatoides,2018,-84.208858,10.059215
Sciurus variegatoides,2019,-84.102902,9.937023
Sciurus variegatoides,2019,-84.078908,9.980858
Sciurus variegatoides,2015,-84.071103,9.931516
Choloepus hoffmanni,2003,-84.088557,10.075162
Sciurus variegatoides,2013,-84.07885,9.980484
Sciurus variegatoides,2019,-84.051344,9.935533
Sciurus variegatoides,2019,-83.947715,9.785309
Sciurus variegatoides,2019,-84.21417,10.015939
Sciurus granatensis,2013,-84.241209,10.100751
Urocyon cinereoargenteus,2019,-84.065686,9.923115
Bradypus variegatus,2019,-84.051029,9.936995
Sciurus variegatoides,2019,-84.109505,10.000956
Nasua narica,2010,-83.783625,9.75909
Sciurus variegatoides,2011,-84.213874,10.016493
Sphiggurus mexicanus,2019,-84.14125,9.865625
Sciurus variegatoides,2011,-84.174379,9.986202
Urocyon cinereoargenteus,2019,-84.024673,9.924121
Sciurus granatensis,2019,-84.008158,9.943616
Bradypus variegatus,2019,-84.017032,10.026943
Cebus imitator,2013,-84.089046,9.881553
Procyon lotor,2019,-84.108923,9.999124
Nasua narica,2014,-83.874305,9.940594
Tapirella bairdii,2019,-84.12455,10.123654
Sciurus variegatoides,2013,-84.28376,9.916182
Sciurus variegatoides,2018,-84.08197,9.936388
Sciurus variegatoides,2015,-83.886856,9.799949
Sciurus variegatoides,2019,-84.186584,9.983845
Sciurus variegatoides,2019,-84.08197,9.936388
Sciurus variegatoides,2012,-84.213852,10.016503
Sciurus variegatoides,2013,-84.050476,9.937148
Sciurus variegatoides,2012,-84.08197,9.936388
Sciurus variegatoides,2018,-84.157173,9.980317
Sciurus variegatoides,2019,-84.07885,9.980484
Sciurus variegatoides,2019,-84.062361,9.930848
Sciurus variegatoides,2015,-83.865455,9.817455
Sciurus variegatoides,2008,-84.162183,9.978316
Sciurus variegatoides,2019,-84.214121,10.016302
Sciurus variegatoides,2012,-84.151793,10.045507
Sciurus variegatoides,2008,-84.049442,9.962279
Sciurus variegatoides,2018,-84.102398,9.935329
Cebus imitator,2019,-83.968721,9.780145
Choloepus hoffmanni,2019,-83.861202,9.856758
Tapirella bairdii,2019,-83.815422,9.790106
Sciurus variegatoides,2018,-83.833888,9.826902
Cebus imitator,2016,-83.889941,9.840111
Tapirella bairdii,2017,-83.985031,10.018614
Cebus capucinus,2019,-83.772118,9.828155
Sciurus variegatoides,2012,-84.07885,9.980484
Sciurus variegatoides,2018,-84.111186,9.998686
Procyon lotor,2019,-84.039986,9.934692
Sciurus variegatoides,2019,-84.07885,9.980484
Procyon lotor,2019,-84.065147,9.924397
Sciurus variegatoides,2018,-84.042794,9.93883
Felis catus,2019,-84.442146,9.963016
Sciurus variegatoides,2019,-84.078622,9.981508
Sciurus variegatoides,2018,-84.043254,9.938427
Sciurus variegatoides,2018,-84.071866,9.934425
Sciurus variegatoides,2017,-84.104069,9.934529
Sciurus variegatoides,2018,-84.177211,9.923015
Sciurus variegatoides,2018,-84.101805,9.936053
Tapirella bairdii,2010,-83.826023,9.778373
Tamandua mexicana,2018,-83.780993,9.749353
Sphiggurus mexicanus,2018,-83.96376,9.948222
Cebus imitator,2014,-84.105278,9.965197
Sciurus variegatoides,2011,-84.072672,9.93439
Sciurus variegatoides,2018,-84.154353,9.974547
Choloepus hoffmanni,2018,-83.986888,9.91061
Dasypus novemcinctus,2018,-83.959512,9.948353
Sciurus variegatoides,2018,-84.250214,9.984219
Bradypus variegatus,2017,-84.203322,9.997805
Nasua narica,2013,-84.390495,9.958719
Microsciurus alfari,2010,-83.783692,9.759041
Felis catus,2018,-84.075456,9.929883
Sciurus variegatoides,2010,-84.078948,9.981214
Nasua narica,2015,-83.783692,9.759041
Saimiri oerstedii,2017,-84.005711,9.873182
Sciurus variegatoides,2017,-83.790178,9.826603
Sciurus variegatoides,2017,-84.030572,9.937117
Sciurus variegatoides,2017,-84.103187,9.935643
Sciurus variegatoides,2010,-84.073578,9.936
Didelphis marsupialis,2017,-84.114979,10.059184
Sciurus variegatoides,2017,-84.059099,9.94021
Sciurus variegatoides,2017,-84.240031,9.99552
Sciurus variegatoides,2017,-84.241287,9.994231
Sciurus variegatoides,2017,-84.103444,9.936066
Sciurus variegatoides,2017,-84.078826,9.981751
Sciurus variegatoides,2011,-84.078916,9.980939
Sphiggurus mexicanus,2016,-83.954107,9.924968
Sciurus variegatoides,2015,-84.250226,9.984652
Sciurus variegatoides,2007,-84.209647,10.047066
Sciurus variegatoides,2016,-84.444835,9.974469
Sciurus variegatoides,2016,-83.823055,9.82641
Nasua narica,2016,-84.146018,9.943297
Tapirella bairdii,2016,-83.998091,10.014132
Bradypus variegatus,2013,-84.082012,9.927128
Sciurus variegatoides,2016,-84.078693,9.982035
Dasypus novemcinctus,2016,-84.180195,9.936759
Sciurus variegatoides,2015,-84.163427,10.118527
Sciurus granatensis,2015,-84.163427,10.118527
Nasua narica,2015,-83.813711,9.781462
Sciurus variegatoides,2014,-84.078932,9.98115
Sciurus variegatoides,2014,-84.201794,10.028527
Nasua narica,2015,-84.21667,10.01667
Sciurus variegatoides,2015,-84.116821,10.074333
Centurio senex,2014,-84.365845,9.934579
